key,value
"Black or African American",1553621
"White",1553323
"Not Specified",393516
"Unknown",369572
"American Indian or Alaska Native",48316
"Asian",35732
"Native Hawaiian or Other Pacific Islander",13396
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
