key,value
"White",2154886
"Black or African American",1377409
"Unknown",170390
"Not Specified",116592
"Asian",76228
"American Indian or Alaska Native",53555
"Native Hawaiian or Other Pacific Islander",13268
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
